ds,y
2003-09-05,633.1241134751773
2003-09-06,619.8676470588235
2003-09-07,624.7428571428571
2003-09-08,604.3229166666666
2003-09-09,633.3157894736842
2003-09-10,641.141447368421
2003-09-11,610.141975308642
2003-09-12,637.5911949685535
2003-09-13,587.3418803418804
2003-09-14,575.7027027027027
2003-09-15,589.5668789808917
2003-09-16,616.7695035460993
2003-09-17,601.5034722222222
2003-09-18,604.2894736842105
2003-09-19,620.516447368421
2003-09-20,609.0073529411765
2003-09-21,578.6756756756756
2003-09-22,619.486301369863
2003-09-23,627.4967532467532
2003-09-24,608.5234899328859
2003-09-25,623.8109243697479
2003-09-26,660.0075757575758
2003-09-27,630.58984375
2003-09-28,625.7575757575758
2003-09-29,687.2013422818792
2003-09-30,736.9051724137931
2003-10-01,726.0735294117648
2003-10-02,687.7843137254902
2003-10-03,695.7870370370371
2003-10-04,715.6142857142858
2003-10-05,709.1290322580645
2003-10-06,736.062015503876
2003-10-07,757.3120567375887
2003-10-08,754.9310344827586
2003-10-09,741.8582677165355
2003-10-10,766.7235772357724
2003-10-11,759.0576923076923
2003-10-12,726.0833333333334
2003-10-13,830.6180555555555
2003-10-14,861.8358208955224
2003-10-15,842.1736111111111
2003-10-16,849.8541666666666
2003-10-17,874.7518796992481
2003-10-18,846.2619047619048
2003-10-19,755.025641025641
2003-10-20,825.8722222222223
2003-10-21,876.8854961832061
2003-10-22,843.6751824817518
2003-10-23,822.6962962962963
2003-10-24,880.3469387755102
2003-10-25,841.7169811320755
2003-10-26,786.25
2003-10-27,885.049504950495
2003-10-28,915.9469026548672
2003-10-29,847.9837398373984
2003-10-30,848.3867924528302
2003-10-31,850.0280373831775
2003-11-01,853.9639639639639
2003-11-02,715.4166666666666
2003-11-03,845.0672413793103
2003-11-04,848.2015503875969
2003-11-05,870.448275862069
2003-11-06,825.3235294117648
2003-11-07,861.6390977443609
2003-11-08,759.925
2003-11-09,682.974358974359
2003-11-10,792.7058823529412
2003-11-11,780.9357142857143
2003-11-12,758.9154929577464
2003-11-13,738.8263888888889
2003-11-14,746.9191176470588
2003-11-15,716.65
2003-11-16,675.0
2003-11-17,719.1908396946565
2003-11-18,708.7851851851852
2003-11-19,689.6521739130435
2003-11-20,697.2063492063492
2003-11-21,710.4132231404959
2003-11-22,657.9590163934427
2003-11-23,626.6129032258065
2003-11-24,639.3032786885246
2003-11-25,667.5
2003-11-26,641.9333333333333
2003-11-27,676.2704918032787
2003-11-28,687.9375
2003-11-29,659.0172413793103
2003-11-30,613.0666666666667
2003-12-01,697.0388888888889
2003-12-02,712.0598802395209
2003-12-03,696.375
2003-12-04,654.188524590164
2003-12-05,714.2793296089385
2003-12-06,677.4242424242424
2003-12-07,675.7352941176471
2003-12-08,702.0902255639098
2003-12-09,710.5636363636364
2003-12-10,678.5546875
2003-12-11,667.7054263565891
2003-12-12,700.3655172413793
2003-12-13,641.1612903225806
2003-12-14,626.8787878787879
2003-12-15,694.3307692307692
2003-12-16,694.9596774193549
2003-12-17,688.0948905109489
2003-12-18,675.3125
2003-12-19,735.4814814814815
2003-12-20,685.2547169811321
2003-12-21,647.0
2003-12-22,718.0672268907563
2003-12-23,714.79
2003-12-24,698.2439024390244
2003-12-25,663.6607142857143
2003-12-26,763.16
2003-12-27,745.1333333333333
2003-12-28,698.3333333333334
2003-12-29,759.4571428571429
2003-12-30,795.9426229508197
2003-12-31,795.3418803418804
2004-01-01,786.3359375
2004-01-02,779.4324324324324
2004-01-03,759.5027624309392
2004-01-04,714.5769230769231
2004-01-05,766.5730337078652
2004-01-06,794.3139534883721
2004-01-07,792.5226130653266
2004-01-08,791.109375
2004-01-09,795.0
2004-01-10,778.2409638554217
2004-01-11,787.0967741935484
2004-01-12,821.7823529411764
