ds,y,rainfall,transport_lag_3
2018-03-05,1846.2869269949067,0.0,64.37000274658203
2018-03-06,1844.2649122807018,0.0,64.37000274658203
2018-03-07,1773.954081632653,0.0,64.37000274658203
2018-03-08,1741.2989864864865,0.0,65.54000091552734
2018-03-09,1732.607944732297,0.0,65.79000091552734
2018-03-10,1657.7816326530613,0.0,64.33999633789062
2018-03-11,1672.9262536873157,0.0,63.61000061035156
2018-03-12,1609.5360655737704,0.0,65.48999786376953
2018-03-13,1597.5651465798046,0.0,65.48999786376953
2018-03-14,1566.567387687188,0.0,65.48999786376953
2018-03-15,1539.5407279029462,0.0,64.94999694824219
2018-03-16,1509.5,0.0,64.63999938964844
2018-03-17,1491.0879120879122,0.0,64.88999938964844
2018-03-18,1459.5637982195847,0.0,65.12000274658203
2018-03-19,1421.8671096345515,0.0,66.20999908447266
2018-03-20,1394.525,0.0,66.20999908447266
2018-03-21,1381.7806451612903,0.0,66.20999908447266
2018-03-22,1356.820945945946,0.0,66.05000305175781
2018-03-23,1344.0439367311071,0.0,67.41999816894531
2018-03-24,1358.1823308270677,0.0,69.47000122070312
2018-03-25,1380.1627118644067,0.0,68.91000366210938
2018-03-26,1376.0805008944544,0.0,70.44999694824219
2018-03-27,1369.414590747331,0.0,70.44999694824219
2018-03-28,1331.9724950884086,0.0,70.44999694824219
2018-03-29,1338.4490740740741,0.0,70.12000274658203
2018-03-30,1265.6683544303798,0.0,70.11000061035156
2018-03-31,1329.2368421052631,0.0,69.52999877929688
2018-04-01,1296.909090909091,0.0,70.2699966430664
2018-04-02,1263.0040733197557,0.0,70.2699966430664
2018-04-03,1269.901384083045,0.0,70.2699966430664
2018-04-04,1294.1986301369864,0.0,70.2699966430664
2018-04-05,1256.2837127845885,0.0,67.63999938964844
2018-04-06,1249.3499111900533,0.0,68.12000274658203
2018-04-07,1207.5724770642203,0.0,68.0199966430664
2018-04-08,1126.1923076923076,0.0,68.33000183105469
2018-04-09,1143.654054054054,0.0,67.11000061035156
2018-04-10,1208.7883959044368,0.0,67.11000061035156
2018-04-11,1191.979797979798,0.0,67.11000061035156
2018-04-12,1182.5980066445184,0.0,68.6500015258789
2018-04-13,1221.9384885764498,0.0,71.04000091552734
2018-04-14,1152.271662763466,0.0,72.05999755859375
2018-04-15,1092.7400611620794,0.0,72.0199966430664
2018-04-16,1171.5101663585951,0.0,72.58000183105469
2018-04-17,1155.7629757785467,0.0,72.58000183105469
2018-04-18,1192.3728813559321,0.0,72.58000183105469
2018-04-19,1119.5828779599271,0.0,71.41999816894531
2018-04-20,1119.4599627560522,0.0,71.58000183105469
2018-04-21,1121.073275862069,0.0,73.4800033569336
2018-04-22,995.3241758241758,0.0,73.77999877929688
